COLLECTION_NAME,YEAR_MONTH,SALE_COUNT,PRICE_USD,PRICE_RANGE
"720 Minutes by Alexis André",2021-3,1008,691.4529173517734,7584.5594779553785
"720 Minutes by Alexis André",2021-4,53,1172.9054100437313,5749.103752839321
"720 Minutes by Alexis André",2021-5,27,1226.6995956383637,4817.49474522776
"720 Minutes by Alexis André",2021-6,52,1313.1912036099752,4480.084049444295
"720 Minutes by Alexis André",2021-7,185,4243.065015340715,34017.26206810048
"720 Minutes by Alexis André",2021-8,211,21445.092725542272,74463.77964954634
"720 Minutes by Alexis André",2021-9,13,29779.64107954652,26081.344441416724
"Abstraction by Hevey",2021-5,21,247.9027056226659,72.00073511629756
"Abstraction by Hevey",2021-6,260,156.24518131335057,390.2971032259452
"Abstraction by Hevey",2021-7,97,521.888163382616,3730.1326810019527
"Abstraction by Hevey",2021-8,173,3009.8544533799145,17937.580694663102
"Abstraction by Hevey",2021-9,2,5605.4741587822655,0
"Aerial View by daLenz",2021-3,1044,193.43833250854772,1753.9779880151812
"Aerial View by daLenz",2021-4,86,323.0841370857689,4240.627272023141
"Aerial View by daLenz",2021-5,36,251.4095960370571,642.4507519881906
"Aerial View by daLenz",2021-6,124,317.90731733667184,1055.0264539307334
"Aerial View by daLenz",2021-7,294,916.0664655153648,4561.821187122187
"Aerial View by daLenz",2021-8,567,7095.721520693809,62652.32767005943
"Aerial View by daLenz",2021-9,29,12431.932568713793,21101.93891618028
"AlgoRhythms by Han x Nicolas Daniel",2021-5,225,1296.452587780916,20118.805134444883
"AlgoRhythms by Han x Nicolas Daniel",2021-6,193,826.8491082171339,4125.252135791623
"AlgoRhythms by Han x Nicolas Daniel",2021-7,271,2712.6525046406014,28160.85359498823
"AlgoRhythms by Han x Nicolas Daniel",2021-8,309,19570.923866735655,160737.9411518005
"AlgoRhythms by Han x Nicolas Daniel",2021-9,3,26608.900565707056,11836.538226701512
"Algobots by Stina Jones",2021-4,742,1216.346492204322,32052.228249037573
"Algobots by Stina Jones",2021-5,40,1790.391891565859,8256.187815051742
"Algobots by Stina Jones",2021-6,43,1254.9540487519307,2093.9948970196447
"Algobots by Stina Jones",2021-7,81,3635.394397783229,34234.119148834776
"Algobots by Stina Jones",2021-8,171,22416.423035731445,71965.99047986808
"Algobots by Stina Jones",2021-9,1,27321.00242687204,0
"Alien Clock by Shvembldr",2021-7,1449,2183.59896569638,24301.669352190274
"Alien Clock by Shvembldr",2021-8,233,31557.126394004383,74145.11438000684
"Alien Clock by Shvembldr",2021-9,4,42214.733703111546,352.1763423288867
"Alien Insects by Shvembldr",2021-8,1903,9802.300103684602,176513.85715641116
"Alien Insects by Shvembldr",2021-9,23,13292.620615701131,23113.287515817952
"Andradite by Eltono",2021-5,94,260.0706130089242,55.33248398656954
"Andradite by Eltono",2021-6,138,199.6077505515806,959.221327172984
"Andradite by Eltono",2021-7,58,619.9573835314623,1969.9811141433006
"Andradite by Eltono",2021-8,69,4426.828843001906,13699.498461658879
"Andradite by Eltono",2021-9,3,5379.754053174583,6883.21876877456
"Antennas by gcrll",2021-5,1,256.031910719393,0
"Antennas by gcrll",2021-6,160,216.1594761702604,173.12207998296552
"Antennas by gcrll",2021-7,163,311.6170386900964,1838.9719050718866
"Antennas by gcrll",2021-8,150,4883.133827366253,13273.349296912409
"Antennas by gcrll",2021-9,5,5796.729500697608,7198.618820455115
"Apparitions by Aaron Penne",2021-3,2063,404.06174403375076,15062.27262387977
"Apparitions by Aaron Penne",2021-4,163,913.4044633429746,5909.880760988451
"Apparitions by Aaron Penne",2021-5,73,983.9301511769019,11279.400915115151
"Apparitions by Aaron Penne",2021-6,121,710.4074622550422,3079.758383572865
"Apparitions by Aaron Penne",2021-7,396,2129.0772618286464,41590.26447801495
"Apparitions by Aaron Penne",2021-8,440,11784.549210653993,104425.46532084524
"Apparitions by Aaron Penne",2021-9,14,20003.78393625982,20154.817507509753
"Archetype by Kjetil Golid",2021-2,712,1327.7807360685183,25717.32026684708
"Archetype by Kjetil Golid",2021-3,213,6184.766473013702,38780.931046960846
"Archetype by Kjetil Golid",2021-4,59,6717.573176197176,67463.35564556692
"Archetype by Kjetil Golid",2021-5,31,3394.770852485678,3783.6915236914137
