COLLECTION_NAME,ARTIST,ASPECT_RATIO,CURATION_STATUS,IS_DYNAMIC,SCRIPT_TYPE,SERIES,USE_HASH,COUNT_TOKEN,DAYS_SINCE_MINT,FEATURE_NUMBER,TRAITS_NUMBER,MINT_CURRENCY,MINT_DURATION,AUGUST_SALE_COUNT,AUGUST_SALE_PRICE
"Portal by Jeff Davis","Jeff Davis","1","factory",true,"p5js","N/A",true,10,74,1,2,ETH,1,,
"PrimiDance by wuwa","wuwa","1","factory",true,"p5js","N/A",true,308,55,14,30,ETH,42,172,7780.969470541759
"PrimiLife by wuwa","wuwa","1","factory",true,"p5js","N/A",true,23,-2,17,36,ETH,7,2,639.4841529380064
"R3sonance by ge1doot","ge1doot","1","playground",true,"js","N/A",true,512,185,7,16,ETH,3,89,7896.876078854822
"Radiance by Julien Gachadoat","Julien Gachadoat","1","factory",true,"p5js","N/A",true,513,44,12,20,ETH,15,230,2706.4839767426765
"Rapture by Thomas Lin Pedersen","Thomas Lin Pedersen","1","factory",true,"p5js","N/A",true,2999,9,20,42,ETH,8,5147,9207.974268254655
"Return by Aaron Penne","Aaron Penne","1","playground",true,"p5js","N/A",true,300,92,7,16,ETH,2,75,22707.592679427085
"Rhythm by Jeff Davis","Jeff Davis","1","playground",true,"p5js","N/A",true,333,125,10,22,ETH,24,70,9800.280266650514
"Rinascita by Stefano Contiero","Stefano Contiero","0.8","playground",true,"p5js","N/A",true,704,31,13,28,ETH,3,1463,6854.828656030857
"Ringers by Dmitri Cherniak","Dmitri Cherniak","1","curated",true,"p5js","2",true,1000,213,11,19,ETH,4,90,438047.1687372542
"Scribbled Boundaries by William Tan","William Tan","1","factory",true,"p5js","N/A",true,1,23,4,10,ETH,9,2101,6113.570293925442
"Scribbled Boundaries by William Tan","William Tan","1","curated",true,"p5js","4",true,1023,15,4,10,ETH,9,2101,6113.570293925442
"Sentience by pxlq","pxlq","1","playground",true,"p5js","N/A",true,144,197,4,4,ETH,2,26,16425.3561690741
"Sigils by espina","espina","1","factory",true,"p5js","N/A",true,157,69,1,4,ETH,13,73,7700.521964021646
"Singularity by Hideki Tsukamoto","Hideki Tsukamoto","1","curated",true,"js","2",true,1024,243,8,4,ETH,1,151,48480.98244520044
"Space Debris 0 by pxlq","pxlq","1","factory",true,"p5js","N/A",true,9,89,1,2,ETH,7,5,7177.7862758647725
"Space Debris 1 by pxlq","pxlq","1","factory",true,"p5js","N/A",true,8,89,1,2,ETH,8,4,8076.861807523152
"Space Debris 2 by pxlq","pxlq","1","factory",true,"p5js","N/A",true,5,90,1,2,ETH,6,1,12937.645109878094
"Space Debris [maider] by WhaleStreet x pxlq","WhaleStreet x pxlq","1","factory",true,"p5js","N/A",true,98,29,1,2,ETH,86,51,5591.529231355363
"Space Debris [maider] by pxlq","pxlq","1","factory",true,"p5js","N/A",true,1,85,1,2,ETH,1,,
"Space Debris [ravaged] by WhaleStreet x pxlq","WhaleStreet x pxlq","1","factory",true,"p5js","N/A",true,32,28,1,2,ETH,82,13,21991.390791646754
